"YearStart","YearEnd","Race/Ethnicity","Sample_Size"
"2019","2019","Asian, non-Latinx","224.0"
"2019","2019","White, non-Latinx","5114.0"
"2019","2019","Other, non-Latinx","464.0"
"2019","2019","Other, non-Latinx","5611.0"
"2019","2019","Asian, non-Latinx","236.0"
"2019","2019","Latinx","329.0"
"2019","2019","Latinx","58.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Asian, non-Latinx",""
"2019","2019","Black, non-Latinx","60.0"
"2019","2019","White, non-Latinx","3923.0"
"2019","2019","Asian, non-Latinx","125.0"
"2019","2019","Latinx","1005.0"
"2019","2019","Black, non-Latinx","177.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","575.0"
"2019","2019","Other, non-Latinx","283.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","54.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","White, non-Latinx","9720.0"
"2019","2019","Other, non-Latinx","130.0"
"2019","2019","White, non-Latinx","2464.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","88.0"
"2019","2019","Black, non-Latinx","190.0"
"2019","2019","White, non-Latinx","3440.0"
"2019","2019","Black, non-Latinx","576.0"
"2019","2019","Other, non-Latinx","110.0"
"2019","2019","Latinx","756.0"
"2019","2019","Other, non-Latinx","111.0"
"2019","2019","Other, non-Latinx","709.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","White, non-Latinx","2711.0"
"2019","2019","Black, non-Latinx","26472.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","173.0"
"2019","2019","Other, non-Latinx","90.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","White, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","167.0"
"2019","2019","Other, non-Latinx","100.0"
"2019","2019","Black, non-Latinx","150.0"
"2019","2019","White, non-Latinx","12072.0"
"2019","2019","Other, non-Latinx","107.0"
"2019","2019","White, non-Latinx","4748.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Black, non-Latinx","57.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Asian, non-Latinx",""
"2019","2019","Black, non-Latinx","1729.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","124.0"
"2019","2019","Latinx","63.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","81.0"
"2019","2019","Latinx","492.0"
"2019","2019","Black, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","1139.0"
"2019","2019","Asian, non-Latinx","94.0"
"2019","2019","Other, non-Latinx","912.0"
"2019","2019","Black, non-Latinx","191.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Asian, non-Latinx","85.0"
"2019","2019","Other, non-Latinx","196.0"
"2019","2019","Latinx","143.0"
"2019","2019","Asian, non-Latinx","600.0"
"2019","2019","Asian, non-Latinx","78.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","White, non-Latinx","8411.0"
"2019","2019","White, non-Latinx","4332.0"
"2019","2019","Other, non-Latinx","63.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","473.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","White, non-Latinx","1676.0"
"2019","2019","Other, non-Latinx","231.0"
